,Station,CODGEO
0,FR19002,35238
1,FR19007,35238
2,FR19008,35129
3,FR19010,35238
4,FR19012,29019
5,FR19014,29019
6,FR19015,29019
7,FR19015,29061
8,FR19016,29212
9,FR19017,35238
10,FR19018,35196
11,FR19019,35189
12,FR19019,35278
13,FR19019,35238
14,FR19021,56121
15,FR19032,56121
16,FR19032,56107
17,FR19032,56162
18,FR19033,56260
19,FR19052,29232
20,FR19053,29232
21,FR19061,22278
22,FR19061,22187
23,FR19061,22106
24,FR19061,22360
25,FR19082,35288
26,FR19501,35238
27,FR19502,35238
28,FR23001,44052
29,FR23003,44052
30,FR23004,44052
31,FR23068,44061
32,FR23069,44033
33,FR23069,44195
34,FR23070,44158
35,FR23075,44103
36,FR23075,44210
37,FR23078,49099
38,FR23107,44109
39,FR23110,44184
40,FR23120,49007
41,FR23123,53130
42,FR23124,85289
43,FR23124,85059
44,FR23124,85067
45,FR23140,44143
46,FR23140,44109
47,FR23149,44116
48,FR23150,49278
49,FR23150,49246
50,FR23150,49007
51,FR23152,85191
52,FR23153,44103
53,FR23153,44176
54,FR23157,44171
55,FR23157,44018
56,FR23157,44024
57,FR23163,72133
58,FR23163,72008
59,FR23163,72344
60,FR23174,72181
61,FR23175,49035
62,FR23175,49278
63,FR23175,49288
64,FR23177,49093
65,FR23177,53210
66,FR23178,44052
67,FR23181,44184
68,FR23182,72181
69,FR23188,44190
70,FR23188,44109
71,FR23230,44132
72,FR23238,44020
73,FR23238,44143
74,FR23239,44020
75,FR23239,44143
76,FR04002,92024
77,FR04002,92036
78,FR04002,92009
79,FR04002,92044
80,FR04002,92078
81,FR04002,92004
82,FR04002,92025
83,FR04002,93070
84,FR04002,93039
85,FR04002,93031
86,FR04004,75101
87,FR04004,75102
88,FR04004,75103
89,FR04004,75108
90,FR04004,75109
91,FR04004,75110
92,FR04004,75117
93,FR04004,75118
94,FR04004,75119
95,FR04004,92024
96,FR04004,93001
97,FR04004,93070
98,FR04012,75101
99,FR04012,75104
100,FR04012,75105
101,FR04012,75106
102,FR04012,75107
103,FR04012,75113
104,FR04012,75114
105,FR04012,75115
106,FR04012,92049
107,FR04012,92075
108,FR04012,92007
109,FR04012,92046
110,FR04012,92020
111,FR04012,94003
112,FR04012,94037
113,FR04012,94043
114,FR04014,75103
115,FR04014,75104
116,FR04014,75105
117,FR04014,75111
118,FR04014,75112
119,FR04014,75113
120,FR04014,75120
121,FR04014,94067
122,FR04014,94041
123,FR04014,94018
124,FR04014,94080
125,FR04014,94069
126,FR04017,75107
127,FR04017,75108
128,FR04017,75116
129,FR04017,75117
130,FR04017,92024
131,FR04017,92051
132,FR04017,92035
133,FR04017,92009
134,FR04017,92044
135,FR04017,92026
136,FR04017,92004
137,FR04017,92062
138,FR04018,75110
139,FR04018,75118
140,FR04018,75119
141,FR04018,93008
142,FR04018,93027
143,FR04018,93045
144,FR04018,93001
145,FR04018,93061
146,FR04018,93070
147,FR04018,93055
148,FR04018,93066
149,FR04023,95450
150,FR04023,95323
151,FR04023,95637
152,FR04023,95476
153,FR04023,95510
154,FR04023,95183
155,FR04023,95500
156,FR04023,95127
157,FR04024,95268
158,FR04024,95680
159,FR04024,95019
160,FR04024,95633
161,FR04024,95088
162,FR04024,95612
163,FR04024,95277
164,FR04024,95094
165,FR04029,78646
166,FR04029,78158
167,FR04029,78686
168,FR04029,78117
169,FR04031,75101
170,FR04031,75102
171,FR04031,75103
172,FR04031,75104
173,FR04031,75105
174,FR04031,75106
175,FR04031,75107
176,FR04031,75108
177,FR04031,75109
178,FR04031,75110
179,FR04031,75115
180,FR04031,75116
181,FR04031,75117
182,FR04031,75118
183,FR04031,92024
184,FR04031,92051
185,FR04031,92044
186,FR04034,94065
187,FR04034,94016
188,FR04034,94038
189,FR04034,94043
190,FR04034,94054
191,FR04034,94073
192,FR04034,94081
193,FR04034,94021
194,FR04034,94022
195,FR04034,94076
196,FR04037,75103
197,FR04037,75104
198,FR04037,75105
199,FR04037,75106
200,FR04037,75111
201,FR04037,75113
202,FR04037,75114
203,FR04037,92049
204,FR04037,94003
205,FR04037,94041
206,FR04037,94018
207,FR04037,94037
208,FR04037,94043
209,FR04037,94076
210,FR04038,78601
211,FR04038,78537
212,FR04048,95056
213,FR04048,95456
214,FR04048,95652
215,FR04048,95566
216,FR04048,95353
217,FR04048,95660
218,FR04049,91272
219,FR04049,91471
220,FR04049,91122
221,FR04049,91319
222,FR04049,91692
223,FR04049,91275
224,FR04049,91560
225,FR04051,78586
226,FR04051,78311
227,FR04051,92025
228,FR04051,95018
229,FR04051,95582
230,FR04051,95176
231,FR04051,95063
232,FR04055,75101
233,FR04055,75102
234,FR04055,75103
235,FR04055,75104
236,FR04055,75105
237,FR04055,75106
238,FR04055,75107
239,FR04055,75108
240,FR04055,75109
241,FR04055,75110
242,FR04055,75111
243,FR04055,75113
244,FR04055,75114
245,FR04055,75117
246,FR04055,75118
247,FR04058,75118
248,FR04058,92078
249,FR04058,93027
250,FR04058,93001
251,FR04058,93070
252,FR04058,93079
253,FR04058,93039
254,FR04058,93066
255,FR04059,92078
256,FR04059,93027
257,FR04059,93072
258,FR04059,93001
259,FR04059,93059
260,FR04059,93070
261,FR04059,93079
262,FR04059,93039
263,FR04059,93031
264,FR04059,95427
265,FR04059,93066
266,FR04060,75101
267,FR04060,75102
268,FR04060,75106
269,FR04060,75107
270,FR04060,75108
271,FR04060,75109
272,FR04060,75114
273,FR04060,75115
274,FR04060,75116
275,FR04060,75117
276,FR04060,92075
277,FR04060,92051
278,FR04063,78361
279,FR04063,78118
280,FR04063,78354
281,FR04063,78335
282,FR04063,78239
283,FR04063,78362
284,FR04066,91248
285,FR04066,91374
286,FR04066,91075
287,FR04066,91526
288,FR04066,91399
289,FR04069,77389
290,FR04069,77487
291,FR04069,77288
292,FR04069,77152
293,FR04069,77038
294,FR04069,77285
295,FR04069,77269
296,FR04069,77394
297,FR04069,77528
298,FR04071,75101
299,FR04071,75102
300,FR04071,75103
301,FR04071,75104
302,FR04071,75105
303,FR04071,75106
304,FR04071,75107
305,FR04071,75108
306,FR04071,75109
307,FR04071,75110
308,FR04071,75111
309,FR04071,75113
310,FR04071,75114
311,FR04071,75115
312,FR04098,77121
313,FR04098,77146
314,FR04098,77169
315,FR04098,77258
316,FR04098,77337
317,FR04098,77468
318,FR04098,77479
319,FR04098,77438
320,FR04098,77083
321,FR04098,77059
322,FR04099,93048
323,FR04099,93064
324,FR04099,93049
325,FR04099,94033
326,FR04099,94052
327,FR04099,94058
328,FR04099,94080
329,FR04099,94042
330,FR04099,94015
331,FR04099,94017
332,FR04100,93064
333,FR04100,93053
334,FR04100,93010
335,FR04100,93032
336,FR04100,93077
337,FR04100,93057
338,FR04100,93050
339,FR04100,93062
340,FR04100,93049
341,FR04101,94052
342,FR04101,94058
343,FR04101,94042
344,FR04101,94079
345,FR04101,94015
346,FR04101,94019
347,FR04101,94055
348,FR04101,94017
349,FR04101,94068
350,FR04118,75101
351,FR04118,75102
352,FR04118,75103
353,FR04118,75104
354,FR04118,75105
355,FR04118,75106
356,FR04118,75107
357,FR04118,75108
358,FR04118,75109
359,FR04118,75110
360,FR04118,75111
361,FR04118,75117
362,FR04118,75118
363,FR04122,77255
364,FR04122,77389
365,FR04122,77487
366,FR04122,77288
367,FR04122,77152
368,FR04122,77038
369,FR04122,77285
370,FR04123,75110
371,FR04123,75118
372,FR04123,75119
373,FR04123,93008
374,FR04123,93027
375,FR04123,93063
376,FR04123,93045
377,FR04123,93001
378,FR04123,93061
379,FR04123,93055
380,FR04123,93066
381,FR04131,75101
382,FR04131,75102
383,FR04131,75103
384,FR04131,75104
385,FR04131,75105
386,FR04131,75106
387,FR04131,75107
388,FR04131,75108
389,FR04131,75109
390,FR04131,75110
391,FR04131,75111
392,FR04131,75117
393,FR04131,75118
394,FR04131,92024
395,FR04131,92044
396,FR04135,75111
397,FR04135,75112
398,FR04135,75113
399,FR04135,75120
400,FR04135,93006
401,FR04135,94067
402,FR04135,94041
403,FR04135,94018
404,FR04135,94080
405,FR04135,94069
406,FR04141,75101
407,FR04141,75102
408,FR04141,75103
409,FR04141,75104
410,FR04141,75105
411,FR04141,75106
412,FR04141,75107
413,FR04141,75109
414,FR04141,75110
415,FR04141,75111
416,FR04141,75113
417,FR04141,75114
418,FR04141,75120
419,FR04142,77364
420,FR04142,77437
421,FR04142,77150
422,FR04142,77308
423,FR04142,77525
424,FR04142,77273
425,FR04142,77241
426,FR04143,75101
427,FR04143,75102
428,FR04143,75103
429,FR04143,75104
430,FR04143,75105
431,FR04143,75106
